speaker,line
Narrator,"[calm][serious] You can be a genuinely winning poker player — and still go broke. For one boring, completely avoidable reason. In the next few minutes I'll give you the exact number of buy-ins you need — cash and tournaments — plus the simple math the rules of thumb are hiding. Get it wrong and variance eats your roll before your edge ever pays off. Get it right, and a losing month stops being a crisis and becomes… a NON-EVENT. [confident] Let's get your number right."
Narrator,"[calm] Everyone's heard the rules. Twenty buy-ins. Fifty. A hundred for tournaments. Almost nobody can tell you why — or what actually breaks if you ignore them. Bankroll management isn't superstition, and it isn't discipline for its own sake. It's one specific piece of math with one specific job: keeping a real winner alive long enough for their edge to show up. By the end you'll know the two anchor numbers, the single equation underneath them, and the three inputs that push your number up or down."
Narrator,"[confident] Start with the headline. Published guidance clusters around two numbers. At least fifty buy-ins for cash. At least a hundred for tournaments. Upswing's example is concrete: a dollar-two game, two-hundred max — fifty buy-ins is a ten-thousand-dollar roll dedicated to poker. For tournaments, PokerNews calls a hundred buy-ins a minimum — big-field players hold two to five hundred. But here's what nobody says out loud: those are ceilings of caution, not laws. Plenty of live regs run leaner — twenty to thirty buy-ins — because live poker deals so few hands an hour the swings arrive in slow motion. That's a personal risk choice, and it only works if you're a clear winner who can reload. So the real question isn't the rule. It's why those numbers… and that starts with counting the right way."
Narrator,"[friendly][cheerful] Quick one: if ""measure it"" beats ""guess it"" to you, subscribe — I break down the math behind poker like this every week. [calm] Okay — back to your number."
Narrator,"[energetic] Rule one: stop counting your bankroll in dollars. ""I have eight grand"" tells you nothing until you divide by the stake. ""I have forty buy-ins at one-two — or eight at five-ten"" — THAT's a decision. Counting in buy-ins is what lets you drop down when you're running bad and move up when your roll can take the heat — without redoing any math. And it fixes your head. Losing ""two thousand dollars"" feels like a disaster. [casual] Losing ""ten buy-ins""… is a Tuesday. Buy-ins are the natural unit of variance — which is exactly why every serious guideline, and the formula we're about to look at, is written in them. And that formula is where the fifty and the hundred actually come from."
Narrator,"[calm] Bankroll rules aren't folklore — they're a shortcut for one equation: risk of ruin. The chance you lose your entire roll before your edge compounds. Popularized by Mason Malmuth, derived properly in Chen and Ankenman's Mathematics of Poker. [reassuring] You will never compute this at the table — and you don't need to. What matters is what it implies. Plug in a realistic winner: three big blinds per hundred hands, eighty-five standard deviation — Primedope's own example. Now watch how fast the required roll drops as you accept a little more risk. Thirty-six buy-ins gets you a five-percent risk of ruin. Forty-eight gets you two percent. Fifty-six — call it eleven grand at one-two — gets you to roughly one percent. [confident] That's it. That's where ""fifty buy-ins"" comes from — it's not a tradition, it's a risk setting. And the equation hands you three levers: win more per hundred, you need fewer. Swing harder — higher standard deviation — you need more. Demand a lower chance of ever going broke, you need more again. Your bankroll isn't one number. It's the price of the risk tolerance you pick. Which finally explains the number that scares people — the hundred-plus for tournaments."
Narrator,"[excited] Now — if you only play cash, you might think the rest doesn't apply to you. Stick with me. The next two parts are the ones that actually SAVE your bankroll: why tournaments are a different animal, and the one assumption every number so far quietly depends on."
Narrator,"[curious] Tournaments need a hundred-plus buy-ins because the payout structure is brutal by design. Only ten to twenty percent of the field cashes, and the money piles up at the very top. So you lose small, over and over… and win big, rarely. That top-heaviness makes per-tournament standard deviation roughly five to ten times a comparable cash session. Same skill edge — far wilder ride. [serious] Here's the number that reframes it: a genuinely winning tournament player — thirty percent ROI — can run two hundred or more tournaments without a single meaningful cash and still be a long-term winner. At a couple of big fields a week, that's a year-long drought that says nothing about your skill. A hundred buy-ins isn't caution. It's the floor that lets you survive a normal cold streak. But every number in this video — cash and tournaments — leans on one assumption. And for most players, it's false."
Narrator,"[serious][sincere] Here's the uncomfortable part. Every formula we just used takes your win rate as an input. And for most players, that number is negative. In a University of Hamburg study of online play, ninety-one percent of all the rake came from the most active ten percent of players. That only makes sense if the big casual majority are net losers. And a peer-reviewed study of over fifty thousand players confirmed poker is skill-predominant — but results only start reflecting skill after about a thousand hands. So the honest sequence flips. First find out whether you're actually a winner — at what rate, with how much variance — then size the bankroll. You can't do step two without real data from step one. And memory is a terrible logbook. That means tracking every session — buy-in, cash-out, hours, stake — so your win rate and standard deviation are measured, not guessed. The math is only ever as good as the numbers you feed it."
Narrator,"[confident] So here's your move: don't pick a bankroll off a rule of thumb. Track your next twenty or thirty sessions, get your real win rate and standard deviation, and let the risk-of-ruin math hand you your number. Get the buy-in count right, measure your real numbers, and let variance do what variance does. [curious] Now — if a tool can compute your win rate, it can also help you study. And that's exactly where the AI hype gets loudest. So can AI actually solve poker? I answer that one right here — and it's not what the ads are selling. [intrigued] Short version: AI already beat the world's best players — and it wasn't ChatGPT. The full story's in that video. Measure your numbers first. Then go watch it."
