# 439 mod-4 dealt canonical flops (k=2) — generated by flop_enum.dart
3c 2d 2h
4c 2c 2d
4c 3c 3d
4c 3d 3h
4c 4d 3h
5c 3c 2c
5c 3d 2d
5c 4c 2d
5c 4d 2c
5c 4d 3d
5c 5d 2h
5c 5d 4h
6c 3c 2c
6c 3d 2d
6c 4c 2d
6c 4d 2c
6c 4d 3d
6c 5c 2d
6c 5c 4d
6c 5d 2h
6c 5d 4c
6c 6d 2c
6c 6d 4c
6c 6d 6h
7c 3c 2d
7c 3d 2h
7c 4c 3c
7c 4d 2d
7c 4d 3h
7c 5c 3c
7c 5c 5d
7c 5d 3c
7c 5d 4d
7c 6c 2d
7c 6c 4d
7c 6d 2c
7c 6d 3d
7c 6d 4h
7c 6d 6h
7c 7d 3h
7c 7d 5h
8c 2c 2d
8c 3c 3d
8c 3d 3h
8c 4c 3d
8c 4d 2h
8c 4d 4h
8c 5c 3d
8c 5d 2c
8c 5d 3d
8c 5d 4h
8c 6c 3c
8c 6c 5c
8c 6d 2d
8c 6d 3h
8c 6d 5c
8c 7c 2c
8c 7c 4c
8c 7c 6c
8c 7d 2d
8c 7d 3h
8c 7d 5c
8c 7d 6d
8c 8d 2h
8c 8d 4h
8c 8d 6h
9c 2c 2d
9c 3c 3d
9c 3d 3h
9c 4c 3d
9c 4d 2h
9c 4d 4h
9c 5c 3d
9c 5d 2c
9c 5d 3d
9c 5d 4h
9c 6c 3c
9c 6c 5c
9c 6d 2d
9c 6d 3h
9c 6d 5c
9c 7c 2c
9c 7c 4c
9c 7c 6c
9c 7d 2d
9c 7d 3h
9c 7d 5c
9c 7d 6d
9c 8c 2d
9c 8c 4d
9c 8c 6d
9c 8d 2c
9c 8d 3d
9c 8d 4h
9c 8d 6c
9c 8d 7d
9c 9d 2h
9c 9d 4h
9c 9d 6h
9c 9d 8h
Ac 3c 2c
Ac 3d 2d
Ac 4c 2d
Ac 4d 2c
Ac 4d 3d
Ac 5c 2d
Ac 5c 4d
Ac 5d 2h
Ac 5d 4c
Ac 6c 2c
Ac 6c 4c
Ac 6c 6d
Ac 6d 3c
Ac 6d 4d
Ac 6d 5h
Ac 7c 3c
Ac 7c 5c
Ac 7c 7d
Ac 7d 3c
Ac 7d 4d
Ac 7d 5h
Ac 7d 7h
Ac 8c 3d
Ac 8c 5d
Ac 8c 7d
Ac 8d 2h
Ac 8d 4c
Ac 8d 5d
Ac 8d 6h
Ac 8d 8h
Ac 9c 3d
Ac 9c 5d
Ac 9c 7d
Ac 9d 2c
Ac 9d 3d
Ac 9d 4h
Ac 9d 6c
Ac 9d 7d
Ac 9d 8h
Ac Ad 3c
Ac Ad 5c
Ac Ad 7c
Ac Ad 9c
Ac Ad Jh
Ac Ad Qh
Ac Jc 2d
Ac Jc 4d
Ac Jc 6d
Ac Jc 8d
Ac Jc Tc
Ac Jd 2h
Ac Jd 4c
Ac Jd 5d
Ac Jd 6h
Ac Jd 8c
Ac Jd 9d
Ac Jd Td
Ac Kc 3c
Ac Kc 5c
Ac Kc 7c
Ac Kc 9c
Ac Kc Kd
Ac Kc Td
Ac Kd 3c
Ac Kd 4d
Ac Kd 5h
Ac Kd 7c
Ac Kd 8d
Ac Kd 9h
Ac Kd Kh
Ac Kd Tc
Ac Qc 2d
Ac Qc 4d
Ac Qc 6d
Ac Qc 8d
Ac Qc Jd
Ac Qd 2c
Ac Qd 3d
Ac Qd 4h
Ac Qd 6c
Ac Qd 7d
Ac Qd 8h
Ac Qd Jc
Ac Qd Tc
Ac Tc 2d
Ac Tc 4d
Ac Tc 6d
Ac Tc 8d
Ac Td 2c
Ac Td 3d
Ac Td 4h
Ac Td 6c
Ac Td 7d
Ac Td 8h
Ac Td Th
Jc 3c 2d
Jc 3d 2h
Jc 4c 3c
Jc 4d 2d
Jc 4d 3h
Jc 5c 3c
Jc 5c 5d
Jc 5d 3c
Jc 5d 4d
Jc 6c 2d
Jc 6c 4d
Jc 6d 2c
Jc 6d 3d
Jc 6d 4h
Jc 6d 6h
Jc 7c 3d
Jc 7c 5d
Jc 7d 2c
Jc 7d 3d
Jc 7d 4h
Jc 7d 6c
Jc 8c 2c
Jc 8c 4c
Jc 8c 6c
Jc 8c 8d
Jc 8d 3c
Jc 8d 4d
Jc 8d 5h
Jc 8d 7c
Jc 9c 2c
Jc 9c 4c
Jc 9c 6c
Jc 9c 8c
Jc 9d 2d
Jc 9d 3h
Jc 9d 5c
Jc 9d 6d
Jc 9d 7h
Jc 9d 9h
Jc Jd 3h
Jc Jd 5h
Jc Jd 7h
Jc Jd 9h
Jc Tc 2c
Jc Tc 4c
Jc Tc 6c
Jc Tc 8c
Jc Tc Td
Jc Td 3c
Jc Td 4d
Jc Td 5h
Jc Td 7c
Jc Td 8d
Jc Td 9h
Kc 3c 2c
Kc 3d 2d
Kc 4c 2d
Kc 4d 2c
Kc 4d 3d
Kc 5c 2d
Kc 5c 4d
Kc 5d 2h
Kc 5d 4c
Kc 6c 2c
Kc 6c 4c
Kc 6c 6d
Kc 6d 3c
Kc 6d 4d
Kc 6d 5h
Kc 7c 3c
Kc 7c 5c
Kc 7c 7d
Kc 7d 3c
Kc 7d 4d
Kc 7d 5h
Kc 7d 7h
Kc 8c 3d
Kc 8c 5d
Kc 8c 7d
Kc 8d 2h
Kc 8d 4c
Kc 8d 5d
Kc 8d 6h
Kc 8d 8h
Kc 9c 3d
Kc 9c 5d
Kc 9c 7d
Kc 9d 2c
Kc 9d 3d
Kc 9d 4h
Kc 9d 6c
Kc 9d 7d
Kc 9d 8h
Kc Jc 3c
Kc Jc 5c
Kc Jc 7c
Kc Jc 9c
Kc Jc Td
Kc Jd 3c
Kc Jd 4d
Kc Jd 5h
Kc Jd 7c
Kc Jd 8d
Kc Jd 9h
Kc Jd Th
Kc Kd 3h
Kc Kd 5h
Kc Kd 7h
Kc Kd 9h
Kc Kd Qc
Kc Qc 2c
Kc Qc 4c
Kc Qc 6c
Kc Qc 8c
Kc Qc Jc
Kc Qc Td
Kc Qd 3c
Kc Qd 4d
Kc Qd 5h
Kc Qd 7c
Kc Qd 8d
Kc Qd 9h
Kc Qd Qh
Kc Tc 2c
Kc Tc 4c
Kc Tc 6c
Kc Tc 8c
Kc Tc Td
Kc Td 3c
Kc Td 4d
Kc Td 5h
Kc Td 7c
Kc Td 8d
Kc Td 9h
Qc 3c 2c
Qc 3d 2d
Qc 4c 2d
Qc 4d 2c
Qc 4d 3d
Qc 5c 2d
Qc 5c 4d
Qc 5d 2h
Qc 5d 4c
Qc 6c 2c
Qc 6c 4c
Qc 6c 6d
Qc 6d 3c
Qc 6d 4d
Qc 6d 5h
Qc 7c 3c
Qc 7c 5c
Qc 7c 7d
Qc 7d 3c
Qc 7d 4d
Qc 7d 5h
Qc 7d 7h
Qc 8c 3d
Qc 8c 5d
Qc 8c 7d
Qc 8d 2h
Qc 8d 4c
Qc 8d 5d
Qc 8d 6h
Qc 8d 8h
Qc 9c 3d
Qc 9c 5d
Qc 9c 7d
Qc 9d 2c
Qc 9d 3d
Qc 9d 4h
Qc 9d 6c
Qc 9d 7d
Qc 9d 8h
Qc Jc 3c
Qc Jc 5c
Qc Jc 7c
Qc Jc 9c
Qc Jc Td
Qc Jd 3c
Qc Jd 4d
Qc Jd 5h
